SuburbName,PostalCode,Latitude,Longitude,DistCityCenter
Bellfield,3081,-37.7531065,145.0384784,9.753178429624153
Briar Hill,3088,-37.7063703,145.1216479,18.360735914405304
Bundoora,3083,-37.69730565,145.066254356098,16.358531017626515
Eaglemont,3084,-37.7651442,145.0633313,10.10037456113577
Eltham,3095,-37.71787,145.156690129179,19.762347791931617
Eltham North,3095,-37.6978921,145.1417807,20.26628183030649
Greensborough,3088,-37.6988474,145.1074004,18.18573864064301
Heidelberg,3084,-37.7524788,145.0701284,11.519306508350981
Heidelberg Heights,3081,-37.7451831,145.0529194,11.188990273201684
Heidelberg West,3081,-37.7382431,145.0433922,11.396561480186662
Ivanhoe,3079,-34.259202,118.8425669,2375.893276553971
Ivanhoe East,3079,-37.7733903,145.0617815,9.388215653509883
Lower Plenty,3093,-37.7388437,145.116224,15.526245918583923
Macleod,3085,-23.72083,113.6817,3354.7825010915953
Montmorency,3094,-37.7189715,145.1256231,17.609812515433667
Rosanna,3084,-37.7396345,145.0696349,12.56662318924597
St Helena,3088,-37.6895135,145.1295774,20.225891128343143
Viewbank,3084,-37.7399103,145.0932329,13.941512460520077
Watsonia,3087,-37.7097848,145.0832709,15.945836653672458
Watsonia North,3087,-37.696046,145.084977,17.303356561579818
Yallambie,3085,-37.7251655,145.0935218,15.151179197713594
Beaumaris,3193,-37.9822122,145.0389098,17.965351304203118
Black Rock,3193,-32.74183,138.8079,795.8503433957459
Brighton,3186,-37.90560815,145.002750613033,8.910919660769395
Brighton East,3187,-37.9171728,145.0163663,10.470269260508891
Cheltenham,3192,-37.9634181,145.0615668,16.726741958810333
Gardenvale,3185,-37.8981194,145.0091824,8.25993098284325
Hampton,3188,-27.3570077,152.0692403,1339.6853589654074
Hampton East,3188,-37.9385409,145.0306726,13.125527941453655
Highett,3190,-37.9504036,145.039797,14.641688031018582
Moorabbin,3189,-37.9414646,145.0578383,14.400554838274287
Sandringham,3191,-37.96741225,145.035302528145,16.29891485209716
Ashburton,3147,-37.8673582,145.0806524,9.897914151980189
Balwyn,3103,-37.8091737,145.0833678,9.321911969077586
Balwyn North,3104,-37.7919518,145.0842372,9.990801068392342
Camberwell,3124,-37.8384623,145.0740767,8.365263621694188
Canterbury,3126,-24.64539,113.9253,3275.98318579248
Deepdene,3103,-34.27798,115.0504,2708.3997024973196
Glen Iris,3146,-37.855814,145.0646117,8.080731688835469
Hawthorn,3122,-37.8355533,145.055224565243,6.6803612338284974
Hawthorn East,3123,-37.8313785,145.0499797,6.174966129116339
Kew,3101,-37.8033586,145.0333285,5.414771436775369
Kew East,3102,-37.7904215,145.0527906,7.624792644574434
Mont Albert,3127,-28.18581,114.35192,3034.6318665777862
Mont Albert North,3127,-37.8033152,145.1107226,11.810760803462435
Surrey Hills,3127,-37.8271881,145.0978326,10.364627616807107
Albanvale,3021,-37.7460824,144.7685623,20.66609127389949
Albion,3020,-37.7763803,144.8160713,15.47878999025465
Ardeer,3022,-37.7758681,144.8014637,16.698861531457986
Brooklyn,3012,-37.8160898,144.8414748,12.225019436019286
Cairnlea,3023,-37.7593157,144.7878098,18.50785096629557
Calder Park,3037,-37.6762639,144.7611396,25.55684909298059
Deer Park,3023,-37.7686602,144.7713077,19.464581133103785
Delahey,3037,-37.7198138,144.7773228,21.46345600429109
Derrimut,3030,-37.7987978,144.776051,18.191982325225084
Hillside,3037,-21.7298708,119.3950495,3033.302713829167
Kealba,3021,-37.7371074,144.8282988,16.694830610370268
Keilor,3036,-37.7113545,144.8250696,18.76874541133374
Keilor Downs,3038,-37.7205762,144.8047614,19.456680650395363
Keilor East,3033,-37.7383776,144.8561207,14.72089695026324
Keilor Lodge,3038,-37.6984134,144.7998157,21.37650882656448
Keilor North,3036,-37.6816313,144.7930224,23.095352554764986
Keilor Park,3042,-37.7187247,144.8501721,16.629253777144346
Kings Park,3021,-37.7337122,144.7719526,21.04738258421375
St Albans,3021,-37.7450983,144.804976,17.9006313389986
Sunshine,3020,-37.7893319,144.8342699,13.481633353395985
Sunshine North,3020,-37.7639467,144.8361969,14.473661729194848
Sunshine West,3020,-37.7983442,144.8110919,15.181331010258374
Sydenham,3037,-37.6997223,144.7653295,23.6218991272302
Taylors Lakes,3038,-37.698633,144.7863077,22.25468165617359
Tullamarine,3043,-37.704658,144.8717732,16.648623039225786
Beaconsfield,3807,-32.07058405,115.768877507407,2726.946440590222
Emerald,3782,-37.93107,145.448889025165,42.7562820383487
Officer,3809,-38.049175,145.41180221332,45.202914667604404
Pakenham,3810,-38.06823555,145.478781133362,51.29897830121743
Avonsleigh,3782,-37.91404,145.482076000566,45.132584962796024
Bayles,3981,-38.1769736,145.573224,64.92279981513727
Beaconsfield Upper,3808,-37.998735,145.425214664948,43.47172757545461
Bunyip,3815,-38.0971242,145.7208993,71.56695986296906
Bunyip North,3815,-38.0971242,145.7208993,71.56695986296906
Caldermeade,3984,-38.239565,145.540776833333,67.19224731336354
Cardinia,3978,-38.13432,145.421166606992,51.58544077504764
Catani,3981,-38.1948042,145.6413285,70.91331038356398
Clematis,3782,-37.9340691,145.417641,40.21735317548328
Cockatoo,3781,-37.9299135,145.5127551,48.149505462656755
Cora Lynn,3814,-38.1436888,145.6042711,65.05923677600255
Dalmore,3981,-33.9340667,116.3031899,2609.8200448360503
Dewhurst,3809,-37.97633,145.474031476148,46.420388584710835
Garfield,3814,-38.0898677,145.676222,67.68022264491108
Garfield North,3814,-38.03934,145.685876546336,66.26485650880487
Gembrook,3783,-37.9685261,145.495700419905,47.91321428794344
